Time,Airline,Destination,Flight Number,Aircraft Type,Wind,Runway,Circle Time
2.89,JetBlue Airways,"Seattle Tacoma International Airport; Seattle, United States",B62656,320,Southwest,4R,3.33
3.04,Copa Airlines,"Tocumen International Airport; Panama City, Panama",CM760,73G,Southwest,4R,2.0
3.13,JetBlue Airways,"Providenciales Airport; Providenciales, Turks and Caicos Islands",B6493,320,Southwest,4R,2.0
3.18,Spirit Airlines,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",NK8855,319,Southwest,4R,2.0
3.2,Southwest Airlines,"Denver International Airport; Denver, United States",WN9029,73W,Southwest,4R,2.67
3.24,JetBlue Airways,"Raleigh Durham International Airport; Raleigh-durham, United States",B61003,E90,Southwest,4L,2.0
3.22,United Airlines,"Dublin Airport; Dublin, Ireland",UA1358,330,Southwest,4R,3.33
3.27,British Airways,"London Heathrow Airport; London, United Kingdom",BA950,333,Southwest,4R,2.67
3.31,American Airlines,"Philadelphia International Airport; Philadelphia, United States",AA646,319,Southwest,4L,2.0
3.29,Southwest Airlines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",WN6994,717,Southwest,4R,3.34
3.33,Copa Airlines,"Tocumen International Airport; Panama City, Panama",CM604,73G,Southwest,4R,2.67
3.38,American Airlines,"Miami International Airport; Miami, United States",AA4716,757,Southwest,4L,2.0
